label,text_span,count
F1 - Diabetes Mellitus,diabetic,6
A2 - NPDR,nonproliferative diabetic retinopathy,4
F1 - Diabetes Mellitus,diabetes mellitus,4
C2 - RD,retinal break,3
C2 - RD,retinal detachment,3
F1 - Diabetes Mellitus,glycemic control,2
C2 - RD,Retinal detachment,2
A1 - DR (Generic),diabetic retinopathy,2
A1 - DR (Generic),E11.9,1
F1 - Diabetes Mellitus,diabetes,1
G3 - Heart Attack <<AUTO>>,E11.9,1
G2 - Neuropathy <<AUTO>>,E11.9,1
G1 - Nephropathy <<AUTO>>,E11.9,1
F1 - Diabetes Mellitus,importance of glycemic control,1
E1 - Retina Surgery,laser,1
F1 - Diabetes Mellitus,E11.9,1
F1 - Diabetes Mellitus,E11,1
D2 - PRP,laser photocoagulation,1
C2 - RD,H33.4,1
B1 - ME <<AUTO>>,E11.9,1
B1 - ME,Macular edema,1
B1 - ME,H35.81,1
A2 - NPDR,NPDR,1
G4 - Stroke <<AUTO>>,E11.9,1
